GVT;Dossiers approuvés ;Investissements en MD;Primes en MD
ARIANA;386; 460,86 ; 61,96 
BEJA;57; 115,64 ; 12,55 
BEN AROUS;667; 1 660,39 ; 216,03 
BIZERTE;301; 481,72 ; 75,67 
GABES;63; 168,20 ; 18,73 
GAFSA;28; 9,29 ; 1,43 
JENDOUBA;13; 73,87 ; 7,68 
KAIROUAN;59; 98,24 ; 9,31 
KASSERINE;45; 190,83 ; 8,07 
KEBILI;10; 5,37 ; 0,71 
KEF;16; 75,31 ; 8,30 
MAHDIA;187; 204,53 ; 28,02 
MANOUBA;265; 342,48 ; 51,26 
MEDENINE;56; 66,45 ; 8,74 
MONASTIR;1060; 1 036,44 ; 150,78 
NABEUL;711; 1 141,92 ; 150,98 
SELIANA;14; 6,83 ; 1,02 
SFAX;763; 1 024,23 ; 139,24 
SIDI BOUZID;26; 26,76 ; 3,75 
SOUSSE;664; 944,06 ; 129,31 
TATAOUINE;10; 10,58 ; 1,00 
TOZEUR;9; 8,49 ; 0,85 
TUNIS;658; 904,88 ; 123,96 
ZAGHOUAN;139; 460,91 ; 51,40 
