Year;DOSSIERS IAA;Invest  IAA ;DOSSIERS ICC;Invest ICC; DOSSIERS ICH;Invest ICH; DOSSIERS ID;Invest ID; DOSSIERS IMCCV;Invest IMCCV; DOSSIERS IME;Invest IME; DOSSIERS ITH;Invest ITH; DOSSIERS IS;Invest IS
1996 - 2000;137;438,33;81;68,14;57;148,68;128;188,65;57;243,19;97;189,61;286;272,96;19;5,97
2001;25;70,81;11;13,76;6;12,05;39;58,46;14;186,44;32;64,69;108;63,05;16;10,05
2002;22;31,03;10;5,35;13;22,79;30;26,91;13;27,90;22;56,70;133;68,41;15;4,18
2003;56;79,78;20;28,91;11;9,62;48;94,59;7;12,00;37;36,99;113;53,14;13;4,63
2004;32;41,03;37;17,68;16;26,89;27;48,45;10;17,81;26;30,55;148;64,07;10;5,37
2005;16;23,12;20;12,12;14;14,06;23;41,34;12;129,00;41;107,88;118;112,56;12;4,95
2006;24;38,66;11;4,23;10;7,10;26;33,29;9;118,23;31;111,34;118;93,26;6;3,27
2007;16;43,01;8;6,01;11;26,60;36;77,70;7;174,31;27;89,00;116;69,96;11;4,38
2008;17;60,15;15;12,84;12;60,28;18;29,37;8;15,44;29;89,46;90;96,01;10;4,75
2009;22;143,77;11;8,85;13;91,19;31;59,24;13;49,02;29;100,81;143;120,71;8;8,06
2010;46;111,76;9;12,20;14;74,39;31;101,30;16;71,36;34;129,75;152;91,10;9;10,94
2011;44;172,05;14;6,17;23;50,82;49;91,81;16;79,67;43;161,85;131;71,56;28;22,63
2012;28;67,32;10;6,85;32;100,81;40;74,64;22;106,72;50;106,61;150;87,59;20;14,00
2013;39;154,80;12;9,01;23;93,59;60;132,88;15;61,89;53;104,93;159;131,01;23;15,61
2014;41;97,61;24;15,17;13;27,33;72;82,17;21;83,51;53;181,79;146;72,44;17;11,45
2015;47;176,80;11;10,97;13;53,45;65;127,53;27;174,80;71;353,61;134;92,19;20;32,15
2016;11;30,94;1;0,23;4;8,23;21;45,29;15;71,66;24;57,10;33;37,80;2;1,52
